,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
248,Namatanai,-3.67,152.43,84.76,68,100,6.4,PG,1595809439
249,Wagar,16.15,36.2,79.05,69,73,19.37,SD,1595809439
250,Poum,-20.23,164.02,73.92,78,0,13.02,NC,1595809439
251,Ouallam,14.32,2.09,88.38,53,26,7.31,NE,1595809439
252,Gamba,-2.65,10.0,73.06,84,98,6.33,GA,1595809440
253,Bongandanga,1.5,21.05,68.11,99,82,1.79,CD,1595809440
254,Linqiong,30.42,103.46,81.0,61,0,4.47,CN,1595809440
255,Sitka,57.05,-135.33,55.4,93,90,10.29,US,1595809440
256,Saint-Michel-des-Saints,46.68,-73.92,78.01,8,49,7.47,CA,1595809440
257,Ahipara,-35.17,173.17,56.61,57,0,4.81,NZ,1595809441
258,Pecos,31.42,-103.49,93.2,32,40,13.87,US,1595809441
259,Ayan,56.45,138.17,59.13,74,8,8.77,RU,1595809441
260,Upernavik,72.79,-56.15,44.87,85,87,6.33,GL,1595809418
261,Villarrica,-25.75,-56.43,62.35,62,100,3.27,PY,1595809441
262,Mariehamn,60.1,19.93,64.4,72,96,12.75,AX,1595809441
263,Uwajima,33.22,132.56,80.6,94,75,2.24,JP,1595809441
264,Deputatsky,69.3,139.9,55.13,74,56,5.61,RU,1595809442
265,Ust-Tsilma,65.44,52.15,62.46,61,86,3.71,RU,1595809442
266,Santa Rosa,14.31,121.11,87.01,83,37,3.36,PH,1595809442
267,Chemainus,48.92,-123.72,86.0,33,5,9.17,CA,1595809442
268,Vestmannaeyjar,63.44,-20.27,51.69,87,100,4.92,IS,1595809442
269,Whitianga,-36.83,175.7,55.65,61,70,5.5,NZ,1595809443
270,Tomatlán,19.93,-105.25,81.7,76,86,3.4,MX,1595809443
271,Haverfordwest,51.8,-4.97,62.01,100,100,26.4,GB,1595809443
272,Xuanwu,32.07,118.81,78.01,90,100,1.66,CN,1595809443
273,Laibin,23.7,109.27,81.54,76,100,7.25,CN,1595809443
274,Hundested,55.97,11.87,59.0,100,0,15.43,DK,1595809443
275,Waddān,29.16,16.14,74.64,44,0,1.19,LY,1595809443
276,Marsh Harbour,26.54,-77.06,83.35,78,73,11.14,BS,1595809443
277,Pangnirtung,66.15,-65.71,53.4,65,100,3.27,CA,1595809444
278,Sabang,5.89,95.32,82.04,74,100,7.16,ID,1595809444
279,Muzhi,65.37,64.67,52.74,78,59,3.29,RU,1595809445
280,Province of Trapani,37.83,12.67,75.0,78,0,2.24,IT,1595809446
281,Klaksvík,62.23,-6.59,48.2,93,100,13.87,FO,1595809019
282,Buraidah,26.33,43.98,93.2,34,0,5.82,SA,1595809447
283,Geraldton,-28.77,114.6,55.4,66,0,14.99,AU,1595809447
284,Cap Malheureux,-19.98,57.61,70.0,70,100,8.99,MU,1595809447
285,Oranjemund,-28.55,16.43,56.23,83,0,13.82,NA,1595809448
286,Kirkwall,58.98,-2.96,50.0,92,16,7.0,GB,1595809448
287,Obigarm,38.72,69.71,66.02,42,37,5.01,TJ,1595809449
288,Oistins,13.07,-59.53,82.4,74,20,12.75,BB,1595809433
289,Kudahuvadhoo,2.67,72.89,82.33,70,72,5.19,MV,1595809449
290,Dzilam González,21.28,-88.93,85.96,68,100,7.58,MX,1595809449
291,Diffa,13.32,12.61,78.26,68,97,14.12,NE,1595809449
292,Haisyn,48.81,29.39,63.77,92,99,10.09,UA,1595809449
293,Peterhead,57.51,-1.8,50.0,76,18,8.05,GB,1595809449
294,Tongzi,28.78,105.09,75.69,90,0,0.69,CN,1595809449
295,Skjervøy,70.03,20.97,55.65,80,12,14.58,NO,1595809450
296,Pestovo,58.59,35.8,55.35,96,11,2.01,RU,1595809450
297,Meulaboh,4.14,96.13,75.61,87,100,5.73,ID,1595809450
298,Zhangjiakou,40.81,114.88,66.27,79,85,7.36,CN,1595809450
299,Pocatello,42.87,-112.45,91.4,14,20,4.7,US,1595809450
300,Vostok,46.49,135.88,75.69,59,0,1.68,RU,1595809451
301,Río Gallegos,-51.62,-69.22,30.2,86,31,18.34,AR,1595809451
302,Balkanabat,39.51,54.37,90.37,32,0,2.59,TM,1595809451
303,Clarence Town,-32.58,151.78,60.8,82,90,23.04,AU,1595809451
304,Northam,51.03,-4.22,60.01,96,100,5.99,GB,1595809451
305,Panacan,9.25,118.41,83.66,66,98,2.28,PH,1595809451
306,Gaozhou,21.94,110.85,84.38,79,96,7.72,CN,1595809452
307,Bone,51.97,12.14,61.0,96,70,4.03,DE,1595809452
308,Bonthe,7.53,-12.51,76.01,79,100,11.41,SL,1595809452
309,Laguna,38.42,-121.42,97.0,20,1,9.17,US,1595809452
310,Arvika,59.66,12.59,60.01,100,100,5.82,SE,1595809452
311,Kununurra,-15.77,128.73,71.6,24,19,8.05,AU,1595809452
312,Tishchenskoye,45.46,41.67,69.8,56,11,11.18,RU,1595809452
313,General Pico,-35.66,-63.76,51.08,49,85,4.74,AR,1595809452
314,Zapolyarnyy,69.42,30.81,59.0,77,2,12.75,RU,1595809452
315,Vagay,57.94,69.02,52.23,89,20,3.83,RU,1595809453
316,Leh,34.17,77.58,60.48,46,7,5.08,IN,1595809453
317,Kampot,10.62,104.18,80.6,88,20,2.24,KH,1595809453
318,Blagoyevo,63.37,47.92,57.45,82,27,1.23,RU,1595809265
319,Alugan,12.22,125.48,82.87,77,26,1.97,PH,1595809453
320,Saint-François,46.42,3.91,60.01,87,13,3.36,FR,1595809454
321,Hong Kong,22.29,114.16,84.0,83,34,11.99,HK,1595809300
322,Coahuayana Viejo,18.73,-103.68,75.2,88,75,3.29,MX,1595809454
323,Bria,6.54,21.99,66.47,96,91,1.79,CF,1595809454
324,Salalah,17.02,54.09,78.8,94,75,2.24,OM,1595809454
325,Hirara,24.8,125.28,86.0,74,75,13.87,JP,1595809454
326,Shevchenko,48.5,35.0,71.6,53,87,8.95,UA,1595809454
327,Flinders,-34.58,150.86,61.0,87,100,10.0,AU,1595809454
328,Gejiu,23.31,103.16,57.69,97,99,5.55,CN,1595809454
329,Santo Tomas,14.11,121.14,87.01,83,10,3.36,PH,1595809455
330,Pangkalanbuun,-2.68,111.62,75.7,86,50,3.38,ID,1595809455
331,Nsanje,-16.92,35.26,59.02,89,8,1.41,MW,1595809455
332,Novy Urengoy,66.08,76.63,50.38,67,49,12.3,RU,1595809445
333,Khanpur,28.65,70.66,94.26,44,13,11.21,PK,1595809455
334,Acaraú,-2.89,-40.12,77.0,78,34,13.94,BR,1595809455
335,Nísia Floresta,-6.09,-35.21,73.4,88,40,8.05,BR,1595809456
336,Mehamn,71.04,27.85,59.23,69,3,8.48,NO,1595809019
337,Nhulunbuy,-12.23,136.77,80.6,47,99,20.8,AU,1595809456
338,Vavatenina,-17.47,49.2,61.79,92,84,3.47,MG,1595809456
339,Nuevo Progreso,23.17,-97.95,86.0,64,100,10.0,MX,1595809456
340,Tabou,4.42,-7.35,75.52,80,84,9.78,CI,1595809456
341,Lucea,18.45,-78.17,86.0,74,20,6.93,JM,1595809457
342,Paramonga,-10.67,-77.83,60.04,85,7,5.86,PE,1595809457
343,Bintulu,3.17,113.03,77.0,100,40,4.7,MY,1595809457
344,Taku,39.02,117.65,75.2,83,80,4.47,CN,1595809457
345,Tasiilaq,65.61,-37.64,42.8,87,77,5.82,GL,1595809457
346,Tual,-5.67,132.75,79.18,83,81,25.5,ID,1595809457
347,Denizli Province,37.84,29.07,71.6,53,0,5.82,TR,1595809457
348,Buchanan,5.88,-10.05,77.0,94,75,4.7,LR,1595809457
349,Erzin,36.96,36.2,79.0,88,0,1.1,TR,1595809458
350,Hoa Binh,20.81,105.34,82.4,74,40,3.36,VN,1595809458
351,Rocha,-34.48,-54.33,45.18,90,69,6.71,UY,1595809458
352,Agüimes,27.91,-15.45,72.0,73,75,28.86,ES,1595809458
353,Najrān,17.49,44.13,73.4,83,40,14.99,SA,1595809458
354,Peniche,39.36,-9.38,64.0,91,0,13.0,PT,1595809458
355,Nizwá,22.93,57.53,83.82,57,90,1.03,OM,1595809459
356,Soyo,-6.13,12.37,71.78,86,1,7.72,AO,1595809459
357,Osmanabad,18.17,76.05,72.36,89,21,8.23,IN,1595809459
358,Kasempa,-13.46,25.83,49.42,74,0,6.58,ZM,1595809459
359,Palmer,42.16,-72.33,87.8,43,75,8.05,US,1595809459
360,Xinzhou,38.41,112.73,68.32,78,57,0.74,CN,1595809459
361,São João da Barra,-21.64,-41.05,72.54,87,32,12.28,BR,1595809459
362,Buluang,13.31,123.34,84.92,72,9,1.43,PH,1595809460
363,Anadyr,64.75,177.48,71.6,68,37,11.18,RU,1595809460
364,Coyhaique,-45.58,-72.07,33.8,64,40,3.36,CL,1595809460
365,Kalispell,48.2,-114.31,84.2,20,1,3.36,US,1595809460
366,Marsaxlokk,35.84,14.54,78.01,88,0,3.36,MT,1595809460
367,Bambanglipuro,-7.95,110.28,74.53,82,28,7.23,ID,1595809460
368,Skovorodino,53.98,123.92,68.47,88,100,8.48,RU,1595809460
369,Ancud,-41.87,-73.82,41.0,93,20,2.24,CL,1595809461
370,Bethel,41.37,-73.41,82.0,57,1,5.82,US,1595809461
371,Florida,28.75,-82.5,82.4,65,1,7.81,US,1595809461
372,Wanlaweyn,2.62,44.89,74.77,83,15,14.36,SO,1595809461
373,Shelburne,44.08,-80.2,84.2,62,1,6.93,CA,1595809461
374,Charter Township of Clinton,42.59,-82.92,91.4,49,75,9.17,US,1595809189
